id,col,sp,ud
351_19,forms,ב ה זמן,ב ה_ זמן
351_23,forms,ו ב ה מקום,ו ב ה_ מקום
352_8,forms,ב הוא,ב_ _הוא
352_12,forms,ל ה דמוקרטים,ל ה_ דמוקרטים
352_17,forms,תוקפנותה,תוקפנות_ _של_ _היא
354_6,forms,מפלגתה,מפלגה_ _של_ _היא
354_10,forms,נגד היא,נגד_ _היא
354_20,forms,ב ה עבר,ב ה_ עבר
355_5,forms,ידה,יד_ _של_ _היא
355_6,forms,ב ה צלחת,ב ה_ צלחת
357_5,forms,ש יריבה,ש יריב_ _של_ _היא
357_16,forms,את היא,את_ _היא
358_5,forms,של הוא,של_ _הוא
360_3,forms,ל ה נשים,ל ה_ נשים
361_5,forms,ניסיונו,ניסיון_ _של_ _הוא
362_5,forms,ידה,יד_ _של_ _היא
362_8,forms,ב ה רבים,ב ה_ רבים
362_11,forms,ל היא,ל_ _היא
362_12,forms,ב פניה,ב פנים_ _של_ _היא
363_21,forms,חייה,חיים_ _של_ _היא
364_1,forms,יתרונו,יתרון_ _של_ _הוא
364_5,forms,ב ה סקרים,ב ה_ סקרים
364_13,forms,שערותיהם,שערה_ _של_ _הם
367_3,forms,ל ידיה,ל יד_ _של_ _היא
368_21,forms,ב ה בחירות,ב ה_ בחירות
373_8,forms,ל ה סנאט,ל ה_ סנאט
375_8,forms,אחרי המ,אחרי_ _הם
376_2,forms,מ המ,מן_ _הם
376_12,forms,ב ה בחירות,ב ה_ בחירות
376_16,forms,מקומו,מקום_ _של_ _הוא
377_1,forms,יהדותו,יהדות_ _של_ _הוא
378_16,forms,ו ילדיו,ו ילד_ _של_ _הוא
379_10,forms,נאמנויותיו,נאמנות_ _של_ _הוא
382_6,forms,ב תבוסתו,ב תבוסה_ _של_ _הוא
382_15,forms,ב קשייו,ב קושי_ _של_ _הוא
383_7,forms,ב התנהגותו,ב התנהגות_ _של_ _הוא
383_8,forms,של הוא,של_ _הוא
385_3,forms,של הוא,של_ _הוא
385_5,forms,כ ה שנונים,כ ה_ שנונים
386_2,forms,מ המ,מן_ _הם
387_15,forms,עם הוא,אתו _הוא
388_1,forms,ב ה שני,ב ה_ שני
388_11,forms,ב חייו,ב חיים_ _של_ _הוא
388_15,forms,ל הוא,ל_ _הוא
388_22,forms,של הוא,של_ _הוא
389_5,forms,כ ה אלה,כ ה_ אלה
391_5,forms,מעמדו,מעמד_ _של_ _הוא
392_5,forms,ל ה סנאט,ל ה_ סנאט
394_16,forms,ב הנ,ב_ _הן
395_6,forms,הערתו,הערה_ _של_ _הוא
395_15,forms,ש ל דעתו,ש ל דעה_ _של_ _הוא
395_16,forms,העמדתו,העמדה_ _של_ _הוא
396_19,forms,מ ארצו,מ ארץ_ _של_ _הוא
396_21,forms,שחרורה,שחרור_ _של_ _היא
397_2,forms,ב פניו,ב פנים_ _של_ _הוא
397_4,forms,ל ה מוות,ל ה_ מוות
397_10,forms,ל הוא,ל_ _הוא
398_5,forms,ל ה שבועון,ל ה_ שבועון
400_15,forms,ל ידיהם,ל יד_ _של_ _הם
400_17,forms,העמדתו,העמדה_ _של_ _הוא
404_9,forms,נשיאותו,נשיאות_ _של_ _הוא
405_12,forms,נגד הוא,נגד_ _הוא
405_17,forms,ל מעצרם,ל מעצר_ _של_ _הם
406_3,forms,ל הוא,ל_ _הוא
406_9,forms,נגד הוא,נגד_ _הוא
408_13,forms,שמו,שם_ _של_ _הוא
409_13,forms,ב ה אקציות,ב ה_ אקציות
409_26,forms,רכושם,רכוש_ _של_ _הם
409_30,forms,הוצאתם,הוצאה_ _של_ _הם
409_31,forms,ל ה הורג,ל ה_ הורג
409_34,forms,מ קורבנותיו,מ קורבן_ _של_ _הוא
410_4,forms,עקבותיו,עקבה_ _של_ _הוא
411_5,forms,את הוא,את_ _הוא
411_6,forms,ל ה מוות,ל ה_ מוות
411_8,forms,ב פניו,ב פנים_ _של_ _הוא
412_9,forms,ל הוא,ל_ _הוא
414_8,forms,מותו,מוות_ _של_ _הוא
414_15,forms,קבורתו,קבורה_ _של_ _הוא
417_4,forms,ב ה 81,ב ה_ 81
420_8,forms,ב ה פוליטיקה,ב ה_ פוליטיקה
420_10,forms,ב ה מינהל,ב ה_ מינהל
425_3,forms,מ המ,מהם _הם
427_7,forms,ב העמדתם,ב העמדה_ _של_ _הם
427_8,forms,ל ה דין,ל ה_ דין
429_10,forms,ארונו,ארון_ _של_ _הוא
430_15,forms,מ המ,מן_ _הם
436_5,forms,ל ה מקום,ל ה_ מקום
437_3,forms,קולו,קול_ _של_ _הוא
438_3,forms,אחרי הוא,אחרי_ _הוא
444_4,forms,ו סגניתו,ו סגנית_ _של_ _הוא
445_1,forms,ב ה קהל,ב ה_ קהל
445_12,forms,"ה ח""ך","ה ח""כ"
446_10,forms,עלי הוא,על_ _הוא
448_5,forms,עם הוא,עם_ _הוא
449_5,forms,תכונותיו,תכונה_ _של_ _הוא
449_11,forms,של הוא,של_ _הוא
449_14,forms,של הוא,של_ _הוא
449_17,forms,של הוא,של_ _הוא
449_23,forms,ל ה קהל,ל ה_ קהל
449_28,forms,דמו,דם_ _של_ _הוא
452_5,forms,אחיו,__ _של_ _הוא
452_11,forms,ל ה ציבור,ל ה_ ציבור
452_17,forms,דמו,דם_ _של_ _הוא
455_2,forms,ב דבריו,ב דבר_ _של_ _הוא
455_16,forms,ל ה כנסת,ל ה_ כנסת
455_26,forms,דמו,דם_ _של_ _הוא
455_29,forms,את הוא,את_ _הוא
458_4,forms,רבותי,__ _של_ _אני
460_9,forms,ל ה טוב,ל ה_ טוב
462_4,forms,נקמתו,נקמה_ _של_ _הוא
463_1,forms,דבריו,דבר_ _של_ _הוא
463_12,forms,ל ה רב,ל ה_ רב
463_22,forms,רבו,רב_ _של_ _הוא
463_33,forms,את אתה,את_ _אתה
464_2,forms,ב ה ארץ,ב ה_ ארץ
464_4,forms,את אתה,את_ _אתה
464_7,forms,את אתה,את_ _אתה
465_5,forms,את אתה,את_ _אתה
466_8,forms,את אנחנו,את_ _אנחנו
467_5,forms,ל ה חבר,ל ה_ חבר
467_9,forms,ל ה חבר,ל ה_ חבר
469_8,forms,ל ה סמטאות,ל ה_ סמטאות
470_12,forms,ל ה ערבים,ל ה_ ערבים
470_17,forms,ל ה שמאלנים,ל ה_ שמאלנים
474_9,forms,פועליהם,פועל_ _של_ _הם
475_2,forms,מ המ,מן_ _הם
475_7,forms,ל ה חלונות,ל ה_ חלונות
477_4,forms,את המ,את_ _הם
478_4,forms,ב ראשו,ב ראש_ _של_ _הוא
479_6,forms,ל ה מרכז,ל ה_ מרכז
481_3,forms,תינוקתה,תינוק_ _של_ _היא
482_9,forms,ב ה מרכז,ב ה_ מרכז
484_10,forms,ל ה אירוע,ל ה_ אירוע
485_8,forms,ב הוא,ב_ _הוא
486_7,forms,ל הוא,ל_ _הוא
487_11,forms,ב ה ידיים,ב ה_ ידיים
487_12,forms,ו ב ה רגליים,ו ב ה_ רגליים
488_7,forms,כש פניהם,כש שפן_ _של_ _הם
489_14,forms,כש עורפו,כש עורף_ _של_ _הוא
489_15,forms,ל ה קרקע,ל ה_ קרקע
490_4,forms,הכרתו,הכרה_ _של_ _הוא
492_1,forms,ב ה רחבה,ב ה_ רחבה
493_8,forms,ב ידו,ב יד_ _של_ _הוא
493_14,forms,ב ה יהודים,ב ה_ יהודים
495_1,forms,כולנו,כולנו _הם
496_2,forms,ל ה ערבים,ל ה_ ערבים
496_5,forms,ל ה שמאלנים,ל ה_ שמאלנים
497_13,forms,גופתו,גופה_ _של_ _הוא
504_8,forms,ב ה ציבור,ב ה_ ציבור
504_20,forms,ב ה ימים,ב ה_ ימים
505_5,forms,ב ה צפון,ב ה_ צפון
505_14,forms,ב ה ערב,ב ה_ ערב
505_18,forms,ל ביתו,ל בית_ _של_ _הוא
507_20,forms,ב ה עיר,ב ה_ עיר
508_1,forms,ב ה יציאות,ב ה_ יציאות
509_18,forms,ביתו,בית_ _של_ _הוא
509_25,forms,את הוא,את_ _הוא
509_37,forms,ב ה מגזר,ב ה_ מגזר
