1,"עשרות אנשים מגיעים מ תאילנד ל ישראל כש הם נרשמים כ מתנדבים , אך למעשה משמשים עובדים שכירים זולים .","עשרות אנשים מגיעים מ תאילנד ל ישראל כש הם נרשמים כ מתנדבים , אך למעשה משמשים עובדים שכירים זולים .",1
12,"חברות ה מעסיקות עובדים זרים זוכות ב מכרזים , היות ו הן מציעות שירותים זולים יותר .","חברות ה מעסיקות עובדים זרים זוכות ב מכרזים , היות ו הן מציעות שירותים זולים יותר .",12
13,"ח""כ רן כהן ( רץ ) אמר כי על ה וועדה לפנות ל ה_ ממשלה ב דרישה לחסל את העסקת ה עובדים ה זרים לאלתר , על רקע היצע ה עולים ה מוכנים לעבוד ב כל עבודה ב שכר ה מינימום .","ח""ך רן כהן ( רץ ) אמר כי על ה וועדה לפנות ל ה ממשלה ב דרישה לחסל את העסקת ה עובדים ה זרים לאלתר , על רקע היצע ה עולים ה מוכנים לעבוד ב כל עבודה ב שכר ה מינימום .",13
14,"לדבריו , יש לפנות ל משרד ה עבודה ו ה רווחה ב דרישה לבטל בתוך חודש את עבודת ה עובדים ה זרים ה מועסקים כיום תחת ה כותרת "" מתנדבים "" .","ל דבריו , יש לפנות ל משרד ה עבודה ו ה רווחה ב דרישה לבטל בתוך חודש את עבודת ה עובדים ה זרים ה מועסקים כיום תחת ה כותרת "" מתנדבים "" .",14
15,"ח""כ יאיר צבן ( מפם ) אמר כי פרשת ה מתנדבים ה תאילנדיים היא "" כתם חרפה על פרצופנו ה לאומי .","ח""ך יאיר צבן ( מפם ) אמר כי פרשת ה מתנדבים ה תאילנדיים היא "" כתם חרפה על פרצופנו ה לאומי .",15
16,ה מוח מתפלץ לא רק מ ה תופעה ה מבישה אלא גם מ דרכי ה הערמה .,ה מוח מתפלץ לא רק מ ה תופעה ה מבישה אלא גם מ דרכי ה הערמה .,16
17,"ה ראש ה יהודי ממציא לנו פטנטים ב דמות מתנדבים , ה משולמים שכר מחפיר "" .","ה ראש ה יהודי ממציא ל אנחנו פטנטים ב דמות מתנדבים , ה משולמים שכר מחפיר "" .",17
18,"הוא קרא ל הפסקת ה תופעה ו ל מתן תשלומים רטרואקטיוויים ל ה_ תאילנדים , ש ישלימו את שכר ה מינימום .","הוא קרא ל הפסקת ה תופעה ו ל מתן תשלומים רטרואקטיוויים ל ה תאילנדים , ש ישלימו את שכר ה מינימום .",18
19,"דוברת שירות ה תעסוקה מסרה אתמול ב תגובה , כי ה שירות פועל ל צמצום מספרם של ה עובדים ה זרים ו ל הכנסת עולים חדשים במקומם .","דוברת שירות ה תעסוקה מסרה אתמול ב תגובה , כי ה שירות פועל ל צמצום מספרם של ה עובדים ה זרים ו ל הכנסת עולים חדשים ב מקומם .",19
20,""" לאחר פעילות נמרצת ב ה_ שבועות ה אחרונים , צומצם מספר ה עובדים ה זרים ב ענף ה אחיות ב 50 % .",""" לאחר פעילות נמרצת ב ה שבועות ה אחרונים , צומצם מספר ה עובדים ה זרים ב ענף ה אחיות ב 50 % .",20
21,"עד סוף ה שנה לא תועסק ב ה_ ארץ אף אחות כ עובדת זרה "" .","עד סוף ה שנה לא תועסק ב ה ארץ אף אחות כ עובדת זרה "" .",21
22,"ה דוברת אמרה כי ה שירות קורא ל ה_ חקלאים לדאוג ל עובדים ישראליים , במקום ל תאילנדים .","ה דוברת אמרה כי ה שירות קורא ל ה חקלאים לדאוג ל עובדים ישראליים , במקום ל תאילנדים .",22
23,""" ה שירות לא שינה את ה מדיניות ב נושא העסקת תאילנדים ב חקלאות , אלא להיפך , הוא הבהיר ל תנועת ה מושבים ש כל עובד ישראלי ש יסכים לעבוד ב ענף ה חקלאות , ישובץ ל ה_ עבודה לאלתר "" .",""" ה שירות לא שינה את ה מדיניות ב נושא העסקת תאילנדים ב חקלאות , אלא להיפך , הוא הבהיר ל תנועת ה מושבים ש כל עובד ישראלי ש יסכים לעבוד ב ענף ה חקלאות , ישובץ ל ה עבודה לאלתר "" .",23
24,"מאמרו של תום שגב , "" ה קרב על סן סימון היה או לא היה "" ( "" ה ארץ "" 105 ) , הגיע לידי רק ב ימים אלה .","מאמרו של תום שגב , "" ה קרב על סן סימון היה או לא היה "" ( "" ה ארץ "" 105 ) , הגיע ל ידי רק ב ימים אלה .",24
25,"למרות ש חלפו מאז 24 שנה , ו למרות ש אירועי ימים אלה אולי מאפילים על כל דבר אחר , אני מרגיש חובה בשמם של ה חללים , ה פצועים ו לוחמי ה קרב ה זה , כ אחד ש היה שם , להתייחס ל ה_ מאמר .","למרות ש חלפו מאז 24 שנה , ו למרות ש אירועי ימים אלה אולי מאפילים על כל דבר אחר , אני מרגיש חובה ב שמם של ה חללים , ה פצועים ו לוחמי ה קרב ה זה , כ אחד ש היה שם , להתייחס ל ה מאמר .",25
26,"קטעי ה מאמר ה עוסקים ב ה_ קרב עצמו , ו ש רק אליהם אתייחס , מאופיינים ב חוסר היגיון ו ב סילוף עובדות , ו מעידים על ה כותב כי הוא משולל הבנה טקטית מינימלית ו ניסיון קרבי משמעותי .","קטעי ה מאמר ה עוסקים ב ה קרב עצמו , ו ש רק אלי המ אתייחס , מאופיינים ב חוסר היגיון ו ב סילוף עובדות , ו מעידים על ה כותב כי הוא משולל הבנה טקטית מינימלית ו ניסיון קרבי משמעותי .",26
27,"ו כעת ל ה_ עובדות ה מצוטטות : כותרת ה מאמר , "" ה קרב על סן סימון : היה לא היה "" , מרמזת כי ייתכן ש ב ה_ מנזר כלל לא התנהל קרב .","ו כעת ל ה עובדות ה מצוטטות : כותרת ה מאמר , "" ה קרב על סן סימון : היה לא היה "" , מרמזת כי ייתכן ש ב ה מנזר כלל לא התנהל קרב .",27
28,"ל כל אלה ה מתרשמים ו מסתפקים ב קריאת ה כותרת בלבד , אני יכול להבטיח ש אכן התנהל שם קרב , ו הוא היה אחד ה קשים ו ה מפוארים ב כל קרבות ישראל .","ל כל אלה ה מתרשמים ו מסתפקים ב קריאת ה כותרת בלבד , אני יכול להבטיח ש אכן התנהל שם קרב , ו הוא היה אחד ה קשים ו ה מפוארים ב כל קרבות ישראל .",28
29,"ו על כך תעיד ה היסטוריה , ו יעידו עשרות ה לוחמים ש נשארו ב ה_ חיים ו הצליחו לבצע את משימתם על אף ה אבדות ה כבדות .","ו על כך תעיד ה היסטוריה , ו יעידו עשרות ה לוחמים ש נשארו ב ה חיים ו הצליחו לבצע את משימתם על אף ה אבדות ה כבדות .",29
30,"ב מלחמת ה עצמאות , ב ה_ קרב על ירושלים , נשארה שכונת קטמון תקועה ב לב ירושלים ה מערבית ו שימשה כ מרכז כוח ערבי רב ו מאורגן .","ב מלחמת ה עצמאות , ב ה קרב על ירושלים , נשארה שכונת קטמון תקועה ב לב ירושלים ה מערבית ו שימשה כ מרכז כוח ערבי רב ו מאורגן .",30
31,"ה שטח ה חיוני של קטמון ל שליטה ב אזור מסוים או ל ניצחון ב ה_ קרב היה מנזר סן סימון , ו לכן היה עלינו להשתלט עליו .","ה שטח ה חיוני של קטמון ל שליטה ב אזור מסוים או ל ניצחון ב ה קרב היה מנזר סן סימון , ו לכן היה עלי אנחנו להשתלט עלי הוא .",31
32,"כתוב : "" ב חוכמה עשה לך מלחמה "" .","כתוב : "" ב חוכמה עשה ל אתה מלחמה "" .",32
33,"אכן , כך עשתה חטיבת "" הראל "" .","אכן , כך עשתה חטיבת "" הראל "" .",33
34,"היא כבשה תחילה את ה מנזר ו את התנגדות ה אויב שברה לאחר מ כן , ב קרב מגננה ש התנהל בתוך ה מנזר ( קרב מגננה מיועד ל שבירת כוחות חזקים ממך ) .","היא כבשה תחילה את ה מנזר ו את התנגדות ה אויב שברה לאחר מ כן , ב קרב מגננה ש התנהל בתוך ה מנזר ( קרב מגננה מיועד ל שבירת כוחות חזקים מ אתה ) .",34
35,ה אויב אמנם נשבר ; קרב ה מגננה הפך ל ניצחון מוחץ ; קטמון נפלה ו ירושלים ה מערבית אוחדה .,ה אויב אמנם נשבר ; קרב ה מגננה הפך ל ניצחון מוחץ ; קטמון נפלה ו ירושלים ה מערבית אוחדה .,35
36,"ה מאמר , ה מצטט ממחקרו של אורי מילשטיין : "" מלכתחילה לא היה צריך לכבוש את ה מנזר ... "" , מצביע על חוסר הבנה אסטרטגית ו טקטית ב סוגיה זו .","ה מאמר , ה מצטט מ מחקרו של אורי מילשטיין : "" מלכתחילה לא היה צריך לכבוש את ה מנזר ... "" , מצביע על חוסר הבנה אסטרטגית ו טקטית ב סוגיה זו .",36
37,"מורשת ה קרב ש צה""ל אימץ כ תוצאה מ ה קרב על מנזר סן סימון איננה מיתוס .","מורשת ה קרב ש צה""ל אימץ כ תוצאה מ ה קרב על מנזר סן סימון איננה מיתוס .",37
38,"היא מבוססת על אותו קרב ה מגננה שבו אירעו מעשי גבורה עילאיים , ו על קבלת החלטות קשות ב תנאי קרב .","היא מבוססת על אותו קרב ה מגננה ש ב הוא אירעו מעשי גבורה עילאיים , ו על קבלת החלטות קשות ב תנאי קרב .",38
39,"חוסר ניסיון ו עלילה זדונית באים ל ביטוי ב קטע ה מאמר ה דן ב נושא "" רצח ה נזירות "" .","חוסר ניסיון ו עלילה זדונית באים ל ביטוי ב קטע ה מאמר ה דן ב נושא "" רצח ה נזירות "" .",39
40,"כל ישראלי ה מנוסה ב קרב לילה ב שטח בנוי ( כ מנזר סן סימון ) יודע , כי תוך כדי פריצה ב ה_ חשכה קודם כל יורים ב כל דבר ש נע ממולך .","כל ישראלי ה מנוסה ב קרב לילה ב שטח בנוי ( כ מנזר סן סימון ) יודע , כי תוך כדי פריצה ב ה חשכה קודם כל יורים ב כל דבר ש נע מ מול אתה .",40
41,"ו אכן , כך קרה ב ה_ פריצה ל ה_ מנזר ה חשוך לחלוטין .","ו אכן , כך קרה ב ה פריצה ל ה מנזר ה חשוך לחלוטין .",41
42,"לא נהרגו "" נזירות "" , אלא נשים ערביות , כנראה משרתות ב ה_ מנזר .","לא נהרגו "" נזירות "" , אלא נשים ערביות , כנראה משרתות ב ה מנזר .",42
43,חבל .,חבל .,43
44,איש לא התכוון ל כך .,איש לא התכוון ל כך .,44
45,"ציטוט מ ה מאמר : "" ב עת ש נורתה , ( ה נזירה ) עסקה ב טיפול ב פצועים "" .","ציטוט מ ה מאמר : "" ב עת ש נורתה , ( ה נזירה ) עסקה ב טיפול ב פצועים "" .",45
46,איזה פצועים ?,איזה פצועים ?,46
47,"הרי כותב ה מאמר קובע , פסקה קודם ל ה_ כן , כי ה מנזר היה ריק מ מגינים .","הרי כותב ה מאמר קובע , פסקה קודם ל ה כן , כי ה מנזר היה ריק מ מגינים .",47
48,"אני הייתי שם , ו כל תיאור ה גווייה ( "" זה היה מראה איום של דם ו בשר ו איברי מין "" ) הוא שקר ו כזב .","אני הייתי שם , ו כל תיאור ה גווייה ( "" זה היה מראה איום של דם ו בשר ו איברי מין "" ) הוא שקר ו כזב .",48
49,"לא היה כאן רצח נזירות , אלא ניסיון ל רצח טוהר ה נשק של ה פלמ""ח ב טוהר עט ה סופרים של ה כותב .","לא היה כאן רצח נזירות , אלא ניסיון ל רצח טוהר ה נשק של ה פלמ""ח ב טוהר עט ה סופרים של ה כותב .",49
50,"ה ידיעה ש פורסמה תחת ה כותרת : "" הורים ב בית ה ספר ב נווה - מונוסון נגד טיול ל ירושלים ; טוענים : הפגנה פוליטית "" ; ( "" ה ארץ "" , 0192 ) , הטרידה אותי מאוד .","ה ידיעה ש פורסמה תחת ה כותרת : "" הורים ב בית ה ספר ב נווה - מונוסון נגד טיול ל ירושלים ; טוענים : הפגנה פוליטית "" ; ( "" ה ארץ "" , 0192 ) , הטרידה את אני מאוד .",50
51,"נילי מנדלר , ש מסרה את ה ידיעה מ פי הורים ( אין יודעים אם מדובר ב הורה בודד , או ב קבוצת הורים מסוימת ) , כתבה כי "" אחד ה הורים , ש החזיר ל ה_ מנהלת את ה ספח ה חוזר שבו הביע התנגדות ל השתתפות ילדו ב ה_ טיול , טען כי "" זהו חינוך פוליטי כאשר ילדינו משמשים אמצעי חי ל הפגנות "" .","נילי מנדלר , ש מסרה את ה ידיעה מ פי הורים ( אין יודעים אם מדובר ב הורה בודד , או ב קבוצת הורים מסוימת ) , כתבה כי "" אחד ה הורים , ש החזיר ל ה מנהלת את ה ספח ה חוזר ש ב הוא הביע התנגדות ל השתתפות ילדו ב ה טיול , טען כי "" זהו חינוך פוליטי כאשר ילדינו משמשים אמצעי חי ל הפגנות "" .",51
52,"לשם איזון ה נושא , עלי לציין כי אני נמנה על ה הורים ש הביעו את הסכמתם ל קיום ה טיול .","לשם איזון ה נושא , על אני לציין כי אני נמנה על ה הורים ש הביעו את הסכמתם ל קיום ה טיול .",52
53,לא רק ש אין זה עניין פוליטי אלא זה נושא חינוכי - לאומי מ מדרגה ראשונה .,לא רק ש אין זה עניין פוליטי אלא זה נושא חינוכי - לאומי מ מדרגה ראשונה .,53
54,"אני גם מוכן להסתכן ו לשער כי ה הורה , או קבוצת ה הורים ש התנגדה ל ה_ טיול , מסתתרים תחת ה מעטה של טיעון פוליטי נבוב ו למעשה הם פוחדים לשלוח את ילדיהם שמא איזה ערבי ינעץ בהם סכין ב ה_ גב .","אני גם מוכן להסתכן ו לשער כי ה הורה , או קבוצת ה הורים ש התנגדה ל ה טיול , מסתתרים תחת ה מעטה של טיעון פוליטי נבוב ו למעשה הם פוחדים לשלוח את ילדיהם שמא איזה ערבי ינעץ ב המ סכין ב ה גב .",54
55,"אני מוכן , ו רוצה , לשלוח את ה ילד שלי ל ירושלים עם זר פרחים ו עם קופסת ממתקים , כדי להביע הוקרה ו עידוד ל ה_ נכד של אבא קובנר , ש חטף סכין ב ה_ ראש מידי אותו מרצח שפל ש דקר ל ה_ מוות שלושה יהודים ב שכונת בקעה .","אני מוכן , ו רוצה , לשלוח את ה ילד של אני ל ירושלים עם זר פרחים ו עם קופסת ממתקים , כדי להביע הוקרה ו עידוד ל ה נכד של אבא קובנר , ש חטף סכין ב ה ראש מידי אותו מרצח שפל ש דקר ל ה מוות שלושה יהודים ב שכונת בקעה .",55
56,"אני רוצה ש ה ילד שלי יסתכל ב ה_ עיניים של ה ילד ה פגוע ו יגיד לו : "" אתה לא לבדך ב ירושלים , כי גם אנחנו ה גרים ב נווה - מונסון , אתך ב לב איתן ביחד "" .","אני רוצה ש ה ילד של אני יסתכל ב ה עיניים של ה ילד ה פגוע ו יגיד ל הוא : "" אתה לא לבדך ב ירושלים , כי גם אנחנו ה גרים ב נווה - מונסון , עם אתה ב לב איתן ביחד "" .",56
57,"אני מוכן להעיד כי גם אבי ז""ל , ש לקח אותי ב אוטובוס ל ירושלים ב שנת תרצ""ח כאשר ה ערבים ירו על כביש באב אל - ואד , אמר לי : "" אלי ! אם תשמע יריות תתכופף , אבל אל תפחד "" .","אני מוכן להעיד כי גם אבי ז""ל , ש לקח את אני ב אוטובוס ל ירושלים ב שנת תרצ""ח כאשר ה ערבים ירו על כביש באב אל - ואד , אמר ל אני : "" אלי ! אם תשמע יריות תתכופף , אבל אל תפחד "" .",57
58,"ו לכן אני אומר ל כל ילדי ישראל : אל תפחדו ! סעו ל ירושלים , אפילו אם יורים או אם מתעופפים שם סכינים .","ו לכן אני אומר ל כל ילדי ישראל : אל תפחדו ! סעו ל ירושלים , אפילו אם יורים או אם מתעופפים שם סכינים .",58
59,"ה פטיש ה כבד ש הנחית ה פועל ה ערבי על ראשיהם של מעסיקו וחברו , ה סכין שידו של איש ה מרכול תקעה ב אחד ה ספקים , ו רצח ה מסעדן ב עין כרם זה לא מ כבר על - ידי אחד מעובדיו , אף הוא ערבי , מעלה מ נבכי ה זיכרון את ה פתגם : "" ה מגדל נחש שפיפון בביתו , אל יופתע אם ימצא עצמו מוכש "" .","ה פטיש ה כבד ש הנחית ה פועל ה ערבי על ראשיהם של מעסיקו ו חברו , ה סכין ש ידו של איש ה מרכול תקעה ב אחד ה ספקים , ו רצח ה מסעדן ב עין כרם זה לא מ כבר על - ידי אחד מ עובדיו , אף הוא ערבי , מעלה מ נבכי ה זיכרון את ה פתגם : "" ה מגדל נחש שפיפון ב ביתו , אל יופתע אם ימצא עצמו מוכש "" .",59
60,"אני כותב זאת ב צער ו ב רגשי אשם ; פעם חשבתי אחרת ( על ה ערבים , לא על ה נחשים ) .","אני כותב זאת ב צער ו ב רגשי אשם ; פעם חשבתי אחרת ( על ה ערבים , לא על ה נחשים ) .",60
61,מסתבר ש הייתי תמים .,מסתבר ש הייתי תמים .,61
62,"מאמר ה מערכת ש התפרסם תחת ה כותרת "" יחדל נא מילוא להתלבט "" ( "" ה ארץ "" , 111 ) , תובע למצות את ה דין עם ה מפכ""ל ו קציני ה משטרה ה בכירים בגלל מחדליהם ב אירועי הר ה בית .","מאמר ה מערכת ש התפרסם תחת ה כותרת "" יחדל נא מילוא להתלבט "" ( "" ה ארץ "" , 111 ) , תובע למצות את ה דין עם ה מפכ""ל ו קציני ה משטרה ה בכירים בגלל מחדליהם ב אירועי הר ה בית .",62
63,"זהו כישלונו ה יחיד עד כה של ה מפכ""ל , ש נגרם רק בגלל ה עובדה ש הוא סמך יותר מדי על קציניו ה בכירים .","זהו כישלונו ה יחיד עד כה של ה מפכ""ל , ש נגרם רק בגלל ה עובדה ש הוא סמך יותר מדי על קציניו ה בכירים .",63
64,"אם כל נושא משרה יפוטר מיד עם ה שגיאה ה ראשונה , תסבול ה מדינה מ סבב בלתי פוסק של בעלי תפקידים בכירים , חסרי ניסיון ו חסרי ביטחון .","אם כל נושא משרה יפוטר מיד עם ה שגיאה ה ראשונה , תסבול ה מדינה מ סבב בלתי פוסק של בעלי תפקידים בכירים , חסרי ניסיון ו חסרי ביטחון .",64
65,מתקבל ה רושם ש ה יחידים ב ה_ מדינה ה זו ש אינם צריכים לחשוש מ תוצאות מעשיהם הם ה פוליטיקאים .,מתקבל ה רושם ש ה יחידים ב ה מדינה ה זו ש אינם צריכים לחשוש מ תוצאות מעשיהם הם ה פוליטיקאים .,65
66,"אלה לא נופלים כ תוצאה מ שגיאות או מ מחדלים , או אפילו מ התנהגות פסולה , אלא רק בשל משחקי כוח פוליטיים .","אלה לא נופלים כ תוצאה מ שגיאות או מ מחדלים , או אפילו מ התנהגות פסולה , אלא רק בשל משחקי כוח פוליטיים .",66
67,"המלצה ל פיטורי שר או נושא משרה פוליטית , מצד בית ה משפט ה עליון או מצד ועדת חקירה נופלת תמיד על אוזניים ערלות ; אבל כש אפשר להטיל את ה אשמה על קצין צבא או משטרה , מוטל גורלם של אלה על כף ה מאזניים .","המלצה ל פיטורי שר או נושא משרה פוליטית , מצד בית ה משפט ה עליון או מצד ועדת חקירה נופלת תמיד על אוזניים ערלות ; אבל כש אפשר להטיל את ה אשמה על קצין צבא או משטרה , מוטל גורלם של אלה על כף ה מאזניים .",67
68,"אני תמה על "" ה ארץ "" ש הזדרז לשחק לידיהם של ה פוליטיקאים , ה מעוניינים להיפטר מ ה מפכ""ל ה נוכחי .","אני תמה על "" ה ארץ "" ש הזדרז לשחק ל ידיהם של ה פוליטיקאים , ה מעוניינים להיפטר מ ה מפכ""ל ה נוכחי .",68
69,"ב עיתונים רבים פורסם מכתבה של מלי פיליפסבורן , יו""ר ארגון נפגעי ה משכנתאות ו חסרי ה דיור , תחת ה כותרת "" אל תיגעו ב ה_ משכנתא "" .","ב עיתונים רבים פורסם מכתבה של מלי פיליפסבורן , יו""ר ארגון נפגעי ה משכנתאות ו חסרי ה דיור , תחת ה כותרת "" אל תיגעו ב ה משכנתא "" .",69
70,"ברצוני להדגיש משפט אחד בדבריה : "" אנו , נפגעי ה משכנתאות , נקלענו למצבנו ה קשה לא בגלל ריבית נמוכה , אלא בגלל ה אינפלציה ו ה הצמדה "" .","ב רצוני להדגיש משפט אחד ב דבריה : "" אנו , נפגעי ה משכנתאות , נקלענו ל מצבנו ה קשה לא בגלל ריבית נמוכה , אלא בגלל ה אינפלציה ו ה הצמדה "" .",70
71,"מלים כ דורבנות , ה תואמות במדויק את מה ש ה חתום מטה טען במשך שנים רבות .","מלים כ דורבנות , ה תואמות במדויק את מה ש ה חתום מטה טען במשך שנים רבות .",71
72,זו לא ה ריבית ש סיבכה את מקבלי ה משכנתאות או לקוחות ה בנקים ה אחרים .,זו לא ה ריבית ש סיבכה את מקבלי ה משכנתאות או לקוחות ה בנקים ה אחרים .,72
73,"יתר - על - כן , ה ריבית ב ישראל במיוחד על משכנתאות היא מ ה נמוכות ביותר ב ה_ עולם , אם לא ה נמוכה שבהן .","יתר - על - כן , ה ריבית ב ישראל במיוחד על משכנתאות היא מ ה נמוכות ביותר ב ה עולם , אם לא ה נמוכה ש ב הנ .",73
74,ו באשר ל ה_ הצמדה ו ל ה_ אינפלציה ה כתובת אינה ה בנקים .,ו באשר ל ה הצמדה ו ל ה אינפלציה ה כתובת אינה ה בנקים .,74
75,"ב ה_ 16 ב אוקטובר הגיע אל ה עיר דה מוין , ב ה_ מערב ה תיכון של ארצות ה ברית , ה נשיא גורג בוש .","ב ה 16 ב אוקטובר הגיע אל ה עיר דה מוין , ב ה מערב ה תיכון של ארצות ה ברית , ה נשיא גורג בוש .",75
76,כאן הוא גם נתקל ב ה_ הפגנה ה ראשונה נגד מלחמה ב ה_ מפרץ ה פרסי .,כאן הוא גם נתקל ב ה הפגנה ה ראשונה נגד מלחמה ב ה מפרץ ה פרסי .,76
77,""" לא נשפוך דם למען נפט "" , קראו לעברו כמה צעירים ב אסיפת בחירות ל טובת מועמד רפובליקאי .",""" לא נשפוך דם למען נפט "" , קראו לעבר הוא כמה צעירים ב אסיפת בחירות ל טובת מועמד רפובליקאי .",77
78,""" לא נפט "" , כעס ה נשיא , "" מדובר פה ב תוקפנות גלויה "" .",""" לא נפט "" , כעס ה נשיא , "" מדובר פה ב תוקפנות גלויה "" .",78
79,איובה היא מקום לא - שגרתי .,איובה היא מקום לא - שגרתי .,79
80,"אומרים עליה , ש יש בה יותר ארגונים פציפיסטיים ל קילומטר מרובע מאשר ב כל מדינה אחרת של ארה""ב .","אומרים עלי היא , ש יש ב היא יותר ארגונים פציפיסטיים ל קילומטר מרובע מאשר ב כל מדינה אחרת של ארה""ב .",80
81,"פציפיזם אינו מוגבל ב איובה ל סטודנטים רדיקליים , אפשר למצוא אותו גם בין חקלאים ו פועלי חרושת .","פציפיזם אינו מוגבל ב איובה ל סטודנטים רדיקליים , אפשר למצוא את הוא גם בין חקלאים ו פועלי חרושת .",81
82,"איובה היא מ אסמי ה דגנים של ארה""ב , ולפרנסתה היא מייצאת אותם ל מדינות כ ברית ה מועצות .","איובה היא מ אסמי ה דגנים של ארה""ב , ו ל פרנסתה היא מייצאת את המ ל מדינות כ ברית ה מועצות .",82
83,"ב 0891 נקלעה איובה , יחד עם מדינות חקלאיות אחרות ב ה_ מערב ה תיכון , ל סחרור קשה : ה נשיא גימי קרטר החליט להטיל חרם דגנים על ה סובייטים , בגלל פלישתם ל אפגניסטן .","ב 0891 נקלעה איובה , יחד עם מדינות חקלאיות אחרות ב ה מערב ה תיכון , ל סחרור קשה : ה נשיא גימי קרטר החליט להטיל חרם דגנים על ה סובייטים , בגלל פלישתם ל אפגניסטן .",83
84,איובה שילמה את ה מחיר עד אמצע שנות ה 80 .,איובה שילמה את ה מחיר עד אמצע שנות ה 80 .,84
85,"כלכלתה היתה שקועה ב מיתון קשה , ב שעה ש רוב ה מדינות ה אחרות ב ארה""ב נהנו מ שגשוג חסר תקדים .","כלכלתה היתה שקועה ב מיתון קשה , ב שעה ש רוב ה מדינות ה אחרות ב ארה""ב נהנו מ שגשוג חסר תקדים .",85
